SourceNode	SourceLayer	TargetNode	TargetLayer
ERLEC1	Proteins	FOXRED2	Proteins
ERLEC1	Proteins	SDF2	Proteins
ERO1B	Proteins	SIL1	Proteins
ERO1B	Proteins	HYOU1	Proteins
ERO1B	Proteins	NGLY1	Proteins
ERO1B	Proteins	TOR1A	Proteins
ERO1B	Proteins	FOXRED2	Proteins
ERO1B	Proteins	SDF2	Proteins
EXOSC3	Proteins	EXOSC5	Proteins
EXOSC3	Proteins	EXOSC2	Proteins
EXOSC5	Proteins	EXOSC2	Proteins
EXOSC8	Proteins	EXOSC3	Proteins
EXOSC8	Proteins	EXOSC5	Proteins
EXOSC8	Proteins	EXOSC2	Proteins
FBN1	Proteins	FBN2	Proteins
FBN1	Proteins	FBLN5	Proteins
FBN2	Proteins	FBLN5	Proteins
FOXRED2	Proteins	SDF2	Proteins
G3BP2	Proteins	G3BP1	Proteins
GCC2	Proteins	GCC1	Proteins
GIGYF2	Proteins	EIF4E2	Proteins
GNB1	Proteins	RHOA	Proteins
GNG5	Proteins	GNB1	Proteins
GNG5	Proteins	RHOA	Proteins
GOLGA2	Proteins	GOLGA3	Proteins
GOLGA2	Proteins	GOLGB1	Proteins
GOLGA2	Proteins	GORASP1	Proteins
GOLGA2	Proteins	GCC2	Proteins
GOLGA2	Proteins	GCC1	Proteins
GOLGA3	Proteins	GOLGB1	Proteins
GOLGA3	Proteins	GORASP1	Proteins
GOLGA3	Proteins	GCC2	Proteins
GOLGA3	Proteins	GCC1	Proteins
GOLGA7	Proteins	ZDHHC5	Proteins
GOLGB1	Proteins	GORASP1	Proteins
GOLGB1	Proteins	GCC2	Proteins
GOLGB1	Proteins	GCC1	Proteins
GORASP1	Proteins	GCC2	Proteins
GORASP1	Proteins	GCC1	Proteins
GPAA1	Proteins	PIGS	Proteins
HS6ST2	Proteins	CHPF	Proteins
HS6ST2	Proteins	CHPF2	Proteins
HYOU1	Proteins	NGLY1	Proteins
HYOU1	Proteins	TOR1A	Proteins
HYOU1	Proteins	FOXRED2	Proteins
HYOU1	Proteins	SDF2	Proteins
ITGB1	Proteins	ADAM9	Proteins
ITGB1	Proteins	LOX	Proteins
ITGB1	Proteins	PLOD2	Proteins
ITGB1	Proteins	COL6A1	Proteins
LARP1	Proteins	PABPC4	Proteins
LARP1	Proteins	RRP9	Proteins
LARP1	Proteins	RPL36	Proteins
LARP1	Proteins	DDX21	Proteins
LARP1	Proteins	UPF1	Proteins
LARP1	Proteins	RBM28	Proteins
LARP1	Proteins	MOV10	Proteins
LARP1	Proteins	PABPC1	Proteins
LARP7	Proteins	MEPCE	Proteins
LMAN2	Proteins	RALA	Proteins
LOX	Proteins	PLOD2	Proteins
LOX	Proteins	COL6A1	Proteins
MARK1	Proteins	MARK2	Proteins
MARK1	Proteins	MARK3	Proteins
MARK2	Proteins	MARK3	Proteins
MOV10	Proteins	PABPC1	Proteins
MRPS2	Proteins	MRPS27	Proteins
MRPS25	Proteins	MRPS2	Proteins
MRPS25	Proteins	MRPS27	Proteins
MRPS5	Proteins	MRPS25	Proteins
MRPS5	Proteins	MRPS2	Proteins
MRPS5	Proteins	MRPS27	Proteins
NDUFAF1	Proteins	NDUFB9	Proteins
NDUFAF1	Proteins	ECSIT	Proteins
NDUFAF1	Proteins	ACAD9	Proteins
NDUFB9	Proteins	ECSIT	Proteins
NDUFB9	Proteins	ACAD9	Proteins
NGDN	Proteins	NOL10	Proteins
NGLY1	Proteins	TOR1A	Proteins
NGLY1	Proteins	FOXRED2	Proteins
NGLY1	Proteins	SDF2	Proteins
NINL	Proteins	NIN	Proteins
NUP214	Proteins	NUP58	Proteins
NUP214	Proteins	NUP88	Proteins
NUP214	Proteins	NUP54	Proteins
NUP58	Proteins	NUP88	Proteins
NUP58	Proteins	NUP54	Proteins
NUP62	Proteins	NUP214	Proteins
NUP62	Proteins	NUP58	Proteins
NUP62	Proteins	NUP88	Proteins
NUP62	Proteins	NUP54	Proteins
NUP88	Proteins	NUP54	Proteins
NUP98	Proteins	RAE1	Proteins
OS9	Proteins	UGGT2	Proteins
OS9	Proteins	ERO1B	Proteins
OS9	Proteins	SIL1	Proteins
OS9	Proteins	HYOU1	Proteins
OS9	Proteins	NGLY1	Proteins
OS9	Proteins	TOR1A	Proteins
OS9	Proteins	FOXRED2	Proteins
OS9	Proteins	SDF2	Proteins
PABPC4	Proteins	RRP9	Proteins
PABPC4	Proteins	RPL36	Proteins
PABPC4	Proteins	DDX21	Proteins
PABPC4	Proteins	UPF1	Proteins
PABPC4	Proteins	RBM28	Proteins
PABPC4	Proteins	MOV10	Proteins
PABPC4	Proteins	PABPC1	Proteins
PCNT	Proteins	NINL	Proteins
PCNT	Proteins	NIN	Proteins
PITRM1	Proteins	COQ8B	Proteins
PITRM1	Proteins	PMPCA	Proteins
PLEKHA5	Proteins	PDZD11	Proteins
PLOD2	Proteins	COL6A1	Proteins
PMPCB	Proteins	PITRM1	Proteins
PMPCB	Proteins	COQ8B	Proteins
PMPCB	Proteins	PMPCA	Proteins
POGLUT2	Proteins	POFUT1	Proteins
POGLUT3	Proteins	POGLUT2	Proteins
POGLUT3	Proteins	POFUT1	Proteins
POLA1	Proteins	POLA2	Proteins
POLA1	Proteins	PRIM1	Proteins
POLA1	Proteins	PRIM2	Proteins
POLA2	Proteins	PRIM1	Proteins
POLA2	Proteins	PRIM2	Proteins
PPIL3	Proteins	SLU7	Proteins
PRIM1	Proteins	PRIM2	Proteins
PRKACA	Proteins	PRKAR2A	Proteins
PRKACA	Proteins	PRKAR2B	Proteins
PRKACA	Proteins	AKAP9	Proteins
PRKAR2A	Proteins	PRKAR2B	Proteins
PRKAR2A	Proteins	AKAP9	Proteins
PRKAR2B	Proteins	AKAP9	Proteins
RAB10	Proteins	RAB5C	Proteins
RAB10	Proteins	RAB2A	Proteins
RAB10	Proteins	RAB1A	Proteins
RAB10	Proteins	LMAN2	Proteins
RAB10	Proteins	RALA	Proteins
RAB14	Proteins	RAB8A	Proteins
RAB14	Proteins	RAB7A	Proteins
RAB14	Proteins	RAB10	Proteins
RAB14	Proteins	RAB5C	Proteins
RAB14	Proteins	RAB2A	Proteins
RAB14	Proteins	RAB1A	Proteins
RAB14	Proteins	LMAN2	Proteins
RAB14	Proteins	RALA	Proteins
RAB18	Proteins	RAB14	Proteins
RAB18	Proteins	RAB8A	Proteins
RAB18	Proteins	RAB7A	Proteins
RAB18	Proteins	RAB10	Proteins
RAB18	Proteins	RAB5C	Proteins
RAB18	Proteins	RAB2A	Proteins
RAB18	Proteins	RAB1A	Proteins
RAB18	Proteins	LMAN2	Proteins
RAB18	Proteins	RALA	Proteins
RAB1A	Proteins	LMAN2	Proteins
RAB1A	Proteins	RALA	Proteins
RAB2A	Proteins	RAB1A	Proteins
RAB2A	Proteins	LMAN2	Proteins
RAB2A	Proteins	RALA	Proteins
RAB5C	Proteins	RAB2A	Proteins
RAB5C	Proteins	RAB1A	Proteins
RAB5C	Proteins	LMAN2	Proteins
RAB5C	Proteins	RALA	Proteins
RAB7A	Proteins	RAB10	Proteins
RAB7A	Proteins	RAB5C	Proteins
RAB7A	Proteins	RAB2A	Proteins
RAB7A	Proteins	RAB1A	Proteins
RAB7A	Proteins	LMAN2	Proteins
RAB7A	Proteins	RALA	Proteins
RAB8A	Proteins	RAB7A	Proteins
RAB8A	Proteins	RAB10	Proteins
RAB8A	Proteins	RAB5C	Proteins
RAB8A	Proteins	RAB2A	Proteins
RAB8A	Proteins	RAB1A	Proteins
RAB8A	Proteins	LMAN2	Proteins
RAB8A	Proteins	RALA	Proteins
RBM28	Proteins	MOV10	Proteins
RBM28	Proteins	PABPC1	Proteins
RBX1	Proteins	CUL2	Proteins
REEP5	Proteins	YIF1A	Proteins
REEP5	Proteins	RTN4	Proteins
REEP6	Proteins	REEP5	Proteins
REEP6	Proteins	YIF1A	Proteins
REEP6	Proteins	RTN4	Proteins
RPL36	Proteins	DDX21	Proteins
RPL36	Proteins	UPF1	Proteins
RPL36	Proteins	RBM28	Proteins
RPL36	Proteins	MOV10	Proteins
RPL36	Proteins	PABPC1	Proteins
RRP9	Proteins	RPL36	Proteins
RRP9	Proteins	DDX21	Proteins
RRP9	Proteins	UPF1	Proteins
RRP9	Proteins	RBM28	Proteins
RRP9	Proteins	MOV10	Proteins
RRP9	Proteins	PABPC1	Proteins
SIL1	Proteins	HYOU1	Proteins
SIL1	Proteins	NGLY1	Proteins
SIL1	Proteins	TOR1A	Proteins
SIL1	Proteins	FOXRED2	Proteins
SIL1	Proteins	SDF2	Proteins
SLC25A1	Proteins	SLC30A7	Proteins
SLC25A1	Proteins	SLC30A9	Proteins
SLC30A7	Proteins	SLC30A9	Proteins
