SourceNode	SourceLayer	TargetNode	TargetLayer
TUBB2A	Effectors	RIC8A	Effectors
TUBA1B	Effectors	TUBA4A	Effectors
TUBA1B	Effectors	TUBB4B	Effectors
TUBA1B	Effectors	TUBB3	Effectors
TUBA1B	Effectors	TUBB2A	Effectors
TUBA1B	Effectors	TUBA1A	Effectors
TUBA1B	Effectors	TUBA1C	Effectors
TUBA1B	Effectors	TUBGCP2	Effectors
TUBA1B	Effectors	TUBB6	Effectors
TUBA1B	Effectors	TUBB2B	Effectors
TUBA1B	Effectors	TUBB1	Effectors
YWHAH	Effectors	TUBB3	Effectors
YWHAH	Effectors	TUBA1A	Effectors
YWHAH	Effectors	MAP3K5	Effectors
TUBA4A	Effectors	TUBB4B	Effectors
TUBA4A	Effectors	TUBB3	Effectors
TUBA4A	Effectors	TUBB2A	Effectors
TUBA4A	Effectors	TUBA1A	Effectors
TUBA4A	Effectors	TUBA1C	Effectors
TUBA4A	Effectors	TUBGCP2	Effectors
TUBA4A	Effectors	TUBB6	Effectors
TUBA4A	Effectors	TUBB2B	Effectors
TUBGCP2	Effectors	TUBG2	Effectors
TUBB4B	Effectors	TUBB3	Effectors
TUBB4B	Effectors	TUBB2A	Effectors
TUBB4B	Effectors	TUBA1A	Effectors
TUBB4B	Effectors	TUBGCP3	Effectors
TUBB4B	Effectors	TUBA1C	Effectors
TUBB4B	Effectors	TUBGCP2	Effectors
TUBB4B	Effectors	TUBB6	Effectors
RAC2	Effectors	RAC3	Effectors
RAC2	Effectors	RAC1	Effectors
RAC3	Effectors	RAC1	Effectors
TUBGCP3	Effectors	TUBGCP6	Effectors
TUBGCP3	Effectors	TUBGCP5	Effectors
TUBGCP3	Effectors	TUBGCP2	Effectors
TUBGCP3	Effectors	TUBG2	Effectors
TUBGCP6	Effectors	TUBGCP5	Effectors
TUBGCP6	Effectors	TUBGCP2	Effectors
TUBGCP6	Effectors	TUBG2	Effectors
TUBGCP5	Effectors	TUBGCP2	Effectors
TUBGCP5	Effectors	TUBG2	Effectors
RANGAP1	Effectors	TRAF6	Effectors
USP33	Effectors	TRAF6	Effectors
