SourceNode	SourceLayer	TargetNode	TargetLayer
heph	Layer2	Prp8	Layer2
heph	Layer2	mub	Layer2
heph	Layer2	LS2	Layer2
heph	Layer2	pAbp	Layer2
heph	Layer2	Hrb98DE	Layer2
heph	Layer2	Rbp9	Layer2
heph	Layer2	SF2	Layer2
Hrs	Layer2	CG4572	Layer2
Hrs	Layer2	CG32683	Layer2
Hrs	Layer2	Arr2	Layer2
Hrs	Layer2	Ubqn	Layer2
Hrs	Layer2	Rab5	Layer2
Hrb98DE	Layer2	CG10777	Layer2
Hrb98DE	Layer2	mago	Layer2
Hrb98DE	Layer2	Srp54	Layer2
Hrb98DE	Layer2	CG16941	Layer2
Hrb98DE	Layer2	CG10077	Layer2
Hrb98DE	Layer2	yps	Layer2
Hrb98DE	Layer2	LS2	Layer2
Hrb98DE	Layer2	Tango4	Layer2
bic	Layer2	RpS3	Layer2
Nacalpha	Layer2	RpS13	Layer2
Nacalpha	Layer2	RpS2	Layer2
Nacalpha	Layer2	sta	Layer2
Nacalpha	Layer2	RpS6	Layer2
Nacalpha	Layer2	RpS16	Layer2
Nacalpha	Layer2	RpS27	Layer2
Nacalpha	Layer2	RpS4	Layer2
Nacalpha	Layer2	RpS23	Layer2
Nacalpha	Layer2	RpS18	Layer2
Nacalpha	Layer2	RpL12	Layer2
Nacalpha	Layer2	RpL18A	Layer2
Nacalpha	Layer2	RpL11	Layer2
Nacalpha	Layer2	RpS10b	Layer2
Nacalpha	Layer2	RpS17	Layer2
Nacalpha	Layer2	RpL13	Layer2
Nacalpha	Layer2	RpS3	Layer2
Nacalpha	Layer2	RpL4	Layer2
Nacalpha	Layer2	bic	Layer2
Aats-val	Layer2	eEF1delta	Layer2
Aats-val	Layer2	Ef1beta	Layer2
Aats-val	Layer2	Aats-asp	Layer2
Aats-val	Layer2	Aats-ile	Layer2
Aats-val	Layer2	CG33123	Layer2
Aats-val	Layer2	Aats-arg	Layer2
BicD	Layer2	Lam	Layer2
BicD	Layer2	bic	Layer2
BicD	Layer2	Khc	Layer2
BicD	Layer2	cpb	Layer2
BicD	Layer2	cpa	Layer2
BicD	Layer2	Dlic	Layer2
DnaJ-H	Layer2	CG2918	Layer2
DnaJ-H	Layer2	Hsc70-3	Layer2
DnaJ-H	Layer2	Hop	Layer2
mRpS34	Layer2	CG4882	Layer2
mRpS34	Layer2	bonsai	Layer2
CadN	Layer2	alpha-Cat	Layer2
CadN	Layer2	arm	Layer2
vig	Layer2	RpS15Aa	Layer2
vig	Layer2	RpS13	Layer2
vig	Layer2	RpS16	Layer2
vig	Layer2	RpS17	Layer2
vig	Layer2	RpL12	Layer2
Tudor-SN	Layer2	bel	Layer2
Tudor-SN	Layer2	AGO1	Layer2
Tudor-SN	Layer2	Fmr1	Layer2
Tudor-SN	Layer2	vig	Layer2
Mdh2	Layer2	Aldh	Layer2
Mdh2	Layer2	ND-51	Layer2
Mdh2	Layer2	COX4	Layer2
Mdh2	Layer2	Cyt-c-p	Layer2
Mdh2	Layer2	COX5A	Layer2
Mdh2	Layer2	Men	Layer2
Mdh2	Layer2	Eno	Layer2
Cyt-c-p	Layer2	Cat	Layer2
Cyt-c-p	Layer2	porin	Layer2
Cyt-c-p	Layer2	ND-PDSW	Layer2
Cyt-c-p	Layer2	COX6B	Layer2
Aldh	Layer2	Cat	Layer2
Aldh	Layer2	Eno	Layer2
Aldh	Layer2	CG12262	Layer2
Aldh	Layer2	AcCoAS	Layer2
CG15093	Layer2	CG12262	Layer2
CG15093	Layer2	AcCoAS	Layer2
CG15093	Layer2	CG3902	Layer2
CG15093	Layer2	Aldh	Layer2
CG4679	Layer2	mRpS34	Layer2
CG4679	Layer2	bsf	Layer2
CG4679	Layer2	CG4882	Layer2
CG4679	Layer2	mRpL12	Layer2
CG4679	Layer2	mRpL44	Layer2
CG4679	Layer2	bonsai	Layer2
CG4679	Layer2	mRpS10	Layer2
