SourceNode	SourceLayer	TargetNode	TargetLayer
AGBE	Layer2	Eno	Layer2
AGBE	Layer2	PyK	Layer2
LpR2	Layer2	Ubqn	Layer2
LpR2	Layer2	CG32683	Layer2
LpR2	Layer2	Arr2	Layer2
LpR2	Layer2	Hrs	Layer2
LpR2	Layer2	lqf	Layer2
LpR2	Layer2	Rab5	Layer2
CG3529	Layer2	Ost48	Layer2
Ost48	Layer2	CG2918	Layer2
Hsp60C	Layer2	Hop	Layer2
Hsp60C	Layer2	Hsc70-3	Layer2
Prx2540-2	Layer2	Cat	Layer2
EfTuM	Layer2	RpS14a	Layer2
EfTuM	Layer2	Hsc70-5	Layer2
EfTuM	Layer2	RpL10Ab	Layer2
EfTuM	Layer2	RpS13	Layer2
EfTuM	Layer2	RpS16	Layer2
EfTuM	Layer2	RpS23	Layer2
EfTuM	Layer2	RpS15Aa	Layer2
EfTuM	Layer2	RpL4	Layer2
EfTuM	Layer2	CG11876	Layer2
EfTuM	Layer2	bonsai	Layer2
EfTuM	Layer2	mRpS10	Layer2
EfTuM	Layer2	RpL12	Layer2
EfTuM	Layer2	sta	Layer2
EfTuM	Layer2	RpL3	Layer2
EfTuM	Layer2	Hsp60	Layer2
EfTuM	Layer2	RpS18	Layer2
EfTuM	Layer2	RpS2	Layer2
EfTuM	Layer2	mRpS9	Layer2
EfTuM	Layer2	RpS3	Layer2
EfTuM	Layer2	mRpL12	Layer2
EfTuM	Layer2	RpL11	Layer2
fne	Layer2	Tango4	Layer2
fne	Layer2	Srp54	Layer2
fne	Layer2	CG10777	Layer2
fne	Layer2	Prp8	Layer2
fne	Layer2	mago	Layer2
fne	Layer2	CG16941	Layer2
fne	Layer2	yps	Layer2
fne	Layer2	CG10077	Layer2
fne	Layer2	Rbp9	Layer2
fne	Layer2	U2A	Layer2
fne	Layer2	Pkc53E	Layer2
fne	Layer2	Hrb98DE	Layer2
fne	Layer2	LS2	Layer2
fne	Layer2	SF2	Layer2
fne	Layer2	mub	Layer2
fne	Layer2	heph	Layer2
Klp10A	Layer2	deltaCOP	Layer2
Mtl	Layer2	zip	Layer2
Mtl	Layer2	tsr	Layer2
Mtl	Layer2	RhoGDI	Layer2
Hsp60	Layer2	CG7033	Layer2
RanBPM	Layer2	CG6617	Layer2
yps	Layer2	Tango4	Layer2
yps	Layer2	LS2	Layer2
yps	Layer2	mago	Layer2
yps	Layer2	CG10777	Layer2
Art4	Layer2	CG10777	Layer2
Art4	Layer2	CG10077	Layer2
Art4	Layer2	pAbp	Layer2
ImpL3	Layer2	Cat	Layer2
ImpL3	Layer2	Men-b	Layer2
ImpL3	Layer2	Pfk	Layer2
ImpL3	Layer2	Men	Layer2
ImpL3	Layer2	Eno	Layer2
ImpL3	Layer2	Tpi	Layer2
ImpL3	Layer2	PyK	Layer2
ImpL3	Layer2	CG11876	Layer2
CG10077	Layer2	CG10777	Layer2
CG10077	Layer2	LS2	Layer2
CG10077	Layer2	Tango4	Layer2
CG10077	Layer2	yps	Layer2
CG10077	Layer2	mago	Layer2
Lam	Layer2	Rab5	Layer2
LamC	Layer2	Lam	Layer2
Ubqn	Layer2	HDAC6	Layer2
Ubqn	Layer2	CG32683	Layer2
mub	Layer2	CG3800	Layer2
mub	Layer2	mago	Layer2
mub	Layer2	U2A	Layer2
mub	Layer2	Srp54	Layer2
mub	Layer2	Tango4	Layer2
mub	Layer2	Prp8	Layer2
mub	Layer2	CG10777	Layer2
mub	Layer2	CG16941	Layer2
mub	Layer2	yps	Layer2
mub	Layer2	CG10077	Layer2
mub	Layer2	LS2	Layer2
mub	Layer2	Hrb98DE	Layer2
mub	Layer2	Rbp9	Layer2
mub	Layer2	SF2	Layer2
AGO1	Layer2	Rbp9	Layer2
AGO1	Layer2	pAbp	Layer2
AGO1	Layer2	Rae1	Layer2
AGO1	Layer2	me31B	Layer2
glo	Layer2	Hrb98DE	Layer2
Sap-r	Layer2	CG3529	Layer2
Sap-r	Layer2	Mgstl	Layer2
Sap-r	Layer2	pins	Layer2
Sap-r	Layer2	Rab5	Layer2
Sap-r	Layer2	Ost48	Layer2
Ndg	Layer2	Cg25C	Layer2
Ndg	Layer2	LanB2	Layer2
trol	Layer2	Cp1	Layer2
trol	Layer2	LanB2	Layer2
trol	Layer2	Cg25C	Layer2
trol	Layer2	Ndg	Layer2
Hsp70Ab	Layer2	Pdi	Layer2
Hsp70Ab	Layer2	DnaJ-H	Layer2
Hsp70Ab	Layer2	Hop	Layer2
Hsp70Ab	Layer2	Hsp27	Layer2
bai	Layer2	Srp19	Layer2
bai	Layer2	CG2852	Layer2
bai	Layer2	gammaSnap2	Layer2
bai	Layer2	Klp10A	Layer2
bai	Layer2	Klc	Layer2
bai	Layer2	Dlic	Layer2
bai	Layer2	cpa	Layer2
bai	Layer2	p115	Layer2
bai	Layer2	cpb	Layer2
bai	Layer2	deltaCOP	Layer2
bai	Layer2	betaCOP	Layer2
bai	Layer2	epsilonCOP	Layer2
bai	Layer2	beta'COP	Layer2
bai	Layer2	zetaCOP	Layer2
Nc73EF	Layer2	Ssadh	Layer2
Nc73EF	Layer2	CG32026	Layer2
Nc73EF	Layer2	l(1)G0156	Layer2
Nc73EF	Layer2	CG33791	Layer2
Nc73EF	Layer2	CG11876	Layer2
Srp54	Layer2	yps	Layer2
Srp54	Layer2	CG10777	Layer2
Srp54	Layer2	mago	Layer2
Srp54	Layer2	LS2	Layer2
Srp54	Layer2	CG10077	Layer2
Srp54	Layer2	Tango4	Layer2
Ugt	Layer2	CG2918	Layer2
Rbp9	Layer2	CG10777	Layer2
Rbp9	Layer2	Tango4	Layer2
Rbp9	Layer2	Srp54	Layer2
Rbp9	Layer2	Prp8	Layer2
Rbp9	Layer2	CG10077	Layer2
Rbp9	Layer2	CG16941	Layer2
Rbp9	Layer2	U2A	Layer2
Rbp9	Layer2	Pkc53E	Layer2
Rbp9	Layer2	LS2	Layer2
Rbp9	Layer2	Hrb98DE	Layer2
Rbp9	Layer2	yps	Layer2
Rbp9	Layer2	mago	Layer2
Act79B	Layer2	cpb	Layer2
Act79B	Layer2	flr	Layer2
Act79B	Layer2	zip	Layer2
Rbp2	Layer2	pAbp	Layer2
Rbp2	Layer2	RpL10Ab	Layer2
Rbp2	Layer2	RpS4	Layer2
Rbp2	Layer2	RpL18A	Layer2
Rbp2	Layer2	RpS3	Layer2
Rbp2	Layer2	RpS11	Layer2
Rbp2	Layer2	eIF3-S9	Layer2
Rbp2	Layer2	RpL11	Layer2
Rbp2	Layer2	eIF3-S10	Layer2
Rbp2	Layer2	RpL13	Layer2
Rbp2	Layer2	eIF3-S8	Layer2
Rbp2	Layer2	RpS10b	Layer2
Rbp2	Layer2	RpS10a	Layer2
Rbp2	Layer2	RpS27	Layer2
Rbp2	Layer2	RpL3	Layer2
Rbp2	Layer2	RpS12	Layer2
Rbp2	Layer2	RpS7	Layer2
Rbp2	Layer2	RpL12	Layer2
Rbp2	Layer2	Tango7	Layer2
Rbp2	Layer2	RpS23	Layer2
Rbp2	Layer2	RpS13	Layer2
Rbp2	Layer2	sta	Layer2
Rbp2	Layer2	RpS18	Layer2
Rbp2	Layer2	RpS16	Layer2
Rbp2	Layer2	RpL4	Layer2
Rbp2	Layer2	RpS6	Layer2
Rbp2	Layer2	Trip1	Layer2
Rbp2	Layer2	RpS2	Layer2
Rbp2	Layer2	eIF-3p66	Layer2
Rbp2	Layer2	CG5642	Layer2
Rbp2	Layer2	CG9769	Layer2
Iswi	Layer2	His1	Layer2
Iswi	Layer2	Bap55	Layer2
Iswi	Layer2	smt3	Layer2
Iswi	Layer2	mor	Layer2
Vps60	Layer2	Hrs	Layer2
eEF1delta	Layer2	eIF3-S10	Layer2
eEF1delta	Layer2	RpS10b	Layer2
eEF1delta	Layer2	RpS13	Layer2
eEF1delta	Layer2	RpS6	Layer2
eEF1delta	Layer2	RpS16	Layer2
eEF1delta	Layer2	RpL12	Layer2
eEF1delta	Layer2	sta	Layer2
eEF1delta	Layer2	RpS2	Layer2
eEF1delta	Layer2	CG5642	Layer2
eEF1delta	Layer2	RpL13	Layer2
eEF1delta	Layer2	Trip1	Layer2
CG10576	Layer2	RpS6	Layer2
CG10576	Layer2	RpS4	Layer2
